,Tweets,Date,len,Likes,RTweets
0,"That’s right @RepBost! Thank you for your support in helping put America back to work. It’s about JOBS, JOBS, JOBS… https://t.co/5WKHqkpAj9",Fri Mar 09 20:40:53 +0000 2018,139,13327,3481
1,Look forward to being in Pennsylvania tomorrow in support of Rick @Saccone4PA18. Big crowd expected in Moon Townshi… https://t.co/AJaYw4PstI,Fri Mar 09 20:35:10 +0000 2018,140,14276,3783
2,"JOBS, JOBS, JOBS! #MAGA https://t.co/YAaqRcA7ZS",Fri Mar 09 16:47:37 +0000 2018,47,40196,11083
3,"Kim Jong Un talked about denuclearization with the South Korean Representatives, not just a freeze. Also, no missil… https://t.co/ZLg0zRZ976",Fri Mar 09 01:08:14 +0000 2018,140,151531,41811
4,"“Presidential Proclamation on Adjusting Imports of Aluminum into the United States” 
 
Proclamation:… https://t.co/2GahSEcox6",Thu Mar 08 22:17:04 +0000 2018,125,43191,10509
5,"“Presidential Proclamation on Adjusting Imports of Steel into the United States”
 
Proclamation:… https://t.co/hQNfSTdFS2",Thu Mar 08 22:16:36 +0000 2018,121,35028,8013
6,Great meeting with @Cabinet at the @WhiteHouse today! #MAGA https://t.co/InWj0QTosz,Thu Mar 08 18:58:46 +0000 2018,83,40771,8244
7,"Happy #InternationalWomensDay

“First Lady Melania Trump to Present the 2018 International Women of Courage Award” https://t.co/EwYtFXGvn2",Thu Mar 08 18:20:06 +0000 2018,138,50669,10795
8,Looking forward to 3:30 P.M. meeting today at the White House. We have to protect &amp; build our Steel and Aluminum In… https://t.co/TOvuYY0vmd,Thu Mar 08 12:38:32 +0000 2018,144,86052,18396
9,The U.S. is acting swiftly on Intellectual Property theft. We cannot allow this to happen as it has for many years!,Wed Mar 07 15:38:49 +0000 2018,115,90106,18886
10,China has been asked to develop a plan for the year of a One Billion Dollar reduction in their massive Trade Defici… https://t.co/D2TzeyTmqX,Wed Mar 07 15:10:48 +0000 2018,140,81628,18254
11,"From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 manufacturing jobs and accumulat… https://t.co/PqL7IA75c4",Wed Mar 07 11:40:29 +0000 2018,140,122880,34551
12,"@MarkBurnettTV @RealRomaDowney From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 m… https://t.co/ZWsYQugFPk",Wed Mar 07 11:24:42 +0000 2018,140,2582,1131
13,"Great couple, great book! https://t.co/cLDI79rin8",Wed Mar 07 10:44:26 +0000 2018,49,35368,7124
14,Will be making a decision soon on the appointment of new Chief Economic Advisor. Many people wanting the job - will choose wisely!,Wed Mar 07 00:49:30 +0000 2018,130,84276,16258
15,"Possible progress being made in talks with North Korea. For the first time in many years, a serious effort is being… https://t.co/17I9VFMLrI",Tue Mar 06 14:11:54 +0000 2018,140,119105,27565
16,Federal Judge in Maryland has just ruled that “President Trump has the right to end DACA.” President Obama had 8 ye… https://t.co/Coh1fflMxK,Tue Mar 06 13:46:57 +0000 2018,140,82466,22144
17,"Lowest rated Oscars in HISTORY. Problem is, we don’t have Stars anymore - except your President (just kidding, of course)!",Tue Mar 06 13:25:15 +0000 2018,122,209141,59227
18,RT @EricTrump: Congratulations @FoxNews: Fox has 15 of the top 20 shows with @SeanHannity and @TuckerCarlson leading the pack at 1st and 2n…,Tue Mar 06 13:07:08 +0000 2018,140,0,18153
19,We will see what happens! https://t.co/Y1qxoAUfd9,Tue Mar 06 13:05:34 +0000 2018,49,37463,9786
20,We are getting it done - jobs and security! https://t.co/Ui8bubj7Yr,Tue Mar 06 13:02:59 +0000 2018,67,51015,12782
21,Total inaction on DACA by Dems. Where are you? A deal can be made!,Tue Mar 06 13:00:58 +0000 2018,66,70196,15138
22,"The new Fake News narrative is that there is CHAOS in the White House. Wrong! People will always come &amp; go, and I w… https://t.co/gZx40h1psF",Tue Mar 06 12:55:35 +0000 2018,144,94841,22172
23,"It’s March 5th and the Democrats are nowhere to be found on DACA. Gave them 6 months, they just don’t care. Where a… https://t.co/VuCAvyGCb7",Mon Mar 05 20:37:51 +0000 2018,140,112350,29792
24,Why did the Obama Administration start an investigation into the Trump Campaign (with zero proof of wrongdoing) lon… https://t.co/YyfQtgZMpn,Mon Mar 05 13:22:29 +0000 2018,140,129134,38731
25,To protect our Country we must protect American Steel! #AMERICA FIRST,Mon Mar 05 12:57:12 +0000 2018,69,82097,17225
26,...treat our farmers much better. Highly restrictive. Mexico must do much more on stopping drugs from pouring into… https://t.co/7Bmn1xy747,Mon Mar 05 11:53:48 +0000 2018,139,84106,17939
27,"We have large trade deficits with Mexico and Canada. NAFTA, which is under renegotiation right now, has been a bad… https://t.co/SdLj0DaHLu",Mon Mar 05 11:47:56 +0000 2018,139,80465,19137
28,We are on the losing side of almost all trade deals. Our friends and enemies have taken advantage of the U.S. for m… https://t.co/kTZHwXqeMy,Mon Mar 05 00:10:12 +0000 2018,140,116215,26507
29,The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better ti… https://t.co/BZHVReTuYi,Sun Mar 04 17:42:03 +0000 2018,140,100884,19821
30,If the E.U. wants to further increase their already massive tariffs and barriers on U.S. companies doing business t… https://t.co/taytTlApWc,Sat Mar 03 17:53:50 +0000 2018,140,123559,30844
31,The United States has an $800 Billion Dollar Yearly Trade Deficit because of our “very stupid” trade deals and poli… https://t.co/nFF3vEmRmY,Sat Mar 03 17:43:26 +0000 2018,140,128591,30892
32,Mainstream Media in U.S. is being mocked all over the world. They’ve gone CRAZY! https://t.co/4UGYuJpUA7,Sat Mar 03 17:33:53 +0000 2018,104,73685,20499
33,Happy National Anthem Day! https://t.co/cf1eugMbKU,Sat Mar 03 14:15:00 +0000 2018,50,93392,21748
34,REST IN PEACE BILLY GRAHAM! https://t.co/2qMoUccVC2,Fri Mar 02 19:48:19 +0000 2018,51,111149,22245
35,"When a country Taxes our products coming in at, say, 50%, and we Tax the same product coming into our country at ZE… https://t.co/UFVLaWepzN",Fri Mar 02 13:57:22 +0000 2018,140,123008,30954
36,"We must protect our country and our workers. Our steel industry is in bad shape. IF YOU DON’T HAVE STEEL, YOU DON’T HAVE A COUNTRY!",Fri Mar 02 13:01:58 +0000 2018,131,103180,21949
